timestamp,temperature,pressure,humidity,flow_rate
2024-12-17 08:00:00,25.3,101.2,45.5,12.8
2024-12-17 08:00:10,25.5,101.3,45.2,12.9
2024-12-17 08:00:20,25.8,101.1,44.8,13.1
2024-12-17 08:00:30,26.1,101.0,44.5,13.3
2024-12-17 08:00:40,26.4,100.9,44.2,13.5
2024-12-17 08:00:50,26.8,100.8,43.9,13.8
2024-12-17 08:01:00,27.2,100.7,43.5,14.0
2024-12-17 08:01:10,27.5,100.6,43.2,14.2
2024-12-17 08:01:20,27.8,100.5,42.9,14.5
2024-12-17 08:01:30,28.1,100.4,42.6,14.7
2024-12-17 08:01:40,28.3,100.3,42.3,14.9
2024-12-17 08:01:50,28.5,100.2,42.0,15.1
2024-12-17 08:02:00,28.6,100.1,41.8,15.3
2024-12-17 08:02:10,28.7,100.0,41.5,15.4
2024-12-17 08:02:20,28.6,100.1,41.3,15.5
2024-12-17 08:02:30,28.4,100.2,41.2,15.4
2024-12-17 08:02:40,28.2,100.3,41.1,15.3
2024-12-17 08:02:50,28.0,100.4,41.0,15.1
2024-12-17 08:03:00,27.7,100.5,41.0,14.9
2024-12-17 08:03:10,27.4,100.6,41.1,14.7
